,C,A,B,N,M,R,G,H,D
220,4,1,0,1,0,0,0,0,0
221,1,1,0,0,0,0,0,0,0
222,6,1,0,0,2,0,0,0,0
223,0,0,0,1,0,2,0,0,0
224,0,0,0,0,1,2,0,0,0
225,0,0,0,1,1,1,0,0,0
226,4,3,0,0,1,0,1,0,0
227,3,0,0,2,0,0,0,0,0
228,0,0,0,1,0,1,0,0,0
229,3,0,0,1,0,0,0,0,0
230,1,1,0,0,0,0,0,0,0
231,2,0,0,2,0,0,0,0,0
232,0,0,0,1,0,1,0,0,0
233,3,2,1,0,1,0,0,0,0
234,1,0,1,0,0,0,0,0,0
235,0,1,0,0,0,1,0,0,0
236,5,0,0,2,0,0,0,0,0
237,0,0,1,1,0,0,0,0,0
238,5,1,1,2,1,0,0,0,0
239,4,1,0,0,0,0,0,0,0
240,5,4,1,0,0,0,0,0,0
241,1,1,0,1,0,0,0,0,0
242,0,0,0,1,0,3,0,0,0
243,3,0,0,0,0,0,0,0,1
244,0,0,0,0,1,1,0,0,1
245,2,1,0,0,0,1,0,0,0
246,0,0,0,0,0,2,0,0,0
247,1,1,0,1,0,0,0,0,0
248,2,2,0,0,0,1,0,0,0
249,1,1,0,0,0,2,0,0,0
250,0,0,0,0,0,2,0,0,0
251,0,0,0,0,0,3,0,0,0
252,3,2,1,0,0,0,0,0,0
253,2,1,0,1,0,0,0,0,0
254,2,0,0,0,0,0,0,0,0
255,2,1,0,0,0,0,0,0,0
256,0,2,0,0,0,0,0,0,0
257,0,0,0,2,2,1,0,0,0
258,4,1,1,0,1,0,0,0,0
259,3,1,1,0,0,0,0,0,0
260,0,0,0,0,1,1,0,0,0
261,3,0,0,1,0,0,0,0,0
262,4,2,0,0,1,0,0,0,0
263,0,1,0,1,0,0,0,0,0
264,0,0,0,0,1,1,0,0,0
265,1,0,0,1,0,0,0,0,0
266,2,0,1,0,0,1,0,0,0
267,2,0,0,0,0,1,0,0,0
268,0,1,1,0,0,0,0,0,0
269,1,1,0,0,0,0,0,0,0
270,0,0,0,0,1,1,0,0,0
271,0,1,1,0,0,0,0,0,0
272,3,2,0,1,0,0,0,0,0
273,2,1,0,0,0,0,0,0,0
274,2,0,0,1,0,1,0,0,0
275,3,0,1,0,0,0,0,0,0
276,2,0,0,1,1,1,0,0,0
277,3,0,0,1,0,0,0,0,0
278,5,1,0,0,1,0,0,0,0
279,0,0,0,1,0,1,0,0,0
280,2,0,0,1,0,0,0,1,0
281,0,2,0,0,0,0,0,0,0
282,1,0,0,1,0,0,0,0,0
283,0,0,0,1,0,2,0,0,0
284,0,0,0,0,1,1,0,0,0
285,2,0,0,2,0,0,0,0,0
286,0,0,0,1,0,1,0,0,0
287,2,0,0,0,0,0,0,0,0
288,0,0,0,1,1,1,0,0,0
289,1,1,0,0,0,0,0,0,0
290,3,2,1,1,0,1,0,0,0
291,0,0,0,1,1,0,0,0,0
292,2,0,0,0,0,0,0,0,0
293,0,2,0,0,0,0,0,0,0
294,5,1,0,0,1,0,0,0,0
295,1,1,0,0,0,0,0,0,0
296,0,0,0,1,1,0,0,0,0
297,4,1,0,0,0,0,0,0,1
298,1,0,0,1,0,0,0,0,0
299,3,0,0,0,0,0,0,0,0
300,4,0,0,0,0,0,0,0,0
301,3,0,0,0,0,0,0,0,0
302,0,1,0,1,0,0,0,0,0
303,2,0,1,0,1,0,0,0,0
304,1,2,0,0,0,0,0,0,0
305,0,0,0,0,1,0,0,0,1
306,0,0,0,0,0,3,0,1,0
307,0,0,0,0,0,2,0,0,0
308,3,2,0,3,0,1,0,0,0
309,4,0,0,0,1,0,0,0,0
310,3,0,0,0,0,0,0,0,0
311,5,2,0,0,0,1,0,0,0
312,0,0,0,0,0,2,0,0,0
313,2,2,0,0,0,0,0,0,0
314,5,0,0,0,0,0,0,0,0
315,0,2,1,2,0,0,0,0,0
316,2,3,0,1,1,0,0,0,0
317,2,2,0,2,0,0,0,0,0
318,0,1,0,0,1,1,0,0,1
319,4,0,0,0,2,0,0,0,0
320,2,1,0,2,0,0,0,0,0
321,2,0,1,2,0,0,0,0,0
322,3,0,0,1,0,0,0,0,0
323,0,0,1,1,0,0,0,0,0
324,5,2,0,0,2,0,0,0,0
325,3,1,0,2,0,0,0,0,0
326,0,1,0,0,0,1,0,0,0
327,0,2,0,0,0,0,0,0,0
328,5,1,0,0,1,1,0,0,0
329,1,1,0,0,1,0,0,1,0
330,6,2,0,0,0,1,0,0,0
331,4,2,2,0,0,1,0,0,0
332,3,1,1,0,1,0,0,0,0
333,0,1,0,0,3,0,0,1,0
334,0,0,1,0,0,1,0,0,0
335,1,1,0,0,0,1,0,0,0
336,0,0,0,0,1,1,0,0,0
337,2,0,0,0,0,0,0,0,0
338,0,0,0,1,1,0,0,0,0
339,4,1,1,0,0,1,0,0,0
340,5,0,0,0,0,0,0,0,0
341,1,1,0,0,0,0,0,0,0
342,3,1,1,0,0,0,0,0,0
343,1,0,1,0,1,0,0,0,0
344,4,0,0,1,0,0,0,0,0
345,2,0,1,0,0,0,0,0,0
346,0,2,0,0,1,0,0,0,0
347,2,2,0,0,0,0,0,0,0
348,3,1,0,0,1,1,0,0,0
349,0,0,0,1,1,0,0,0,0
350,3,0,0,0,1,0,0,0,0
351,2,3,0,0,0,0,0,0,0
352,5,0,0,0,0,0,0,0,0
353,3,1,0,0,1,0,0,0,0
354,0,0,0,0,1,1,0,0,0
355,0,0,0,1,1,0,0,0,0
356,4,1,0,0,0,0,0,0,0
357,0,0,0,2,0,0,0,0,0
358,1,2,0,0,0,0,0,0,0
359,0,0,0,1,0,1,0,0,0
360,2,0,0,0,0,0,0,0,0
361,0,0,1,0,0,1,0,0,0
362,2,0,0,0,0,0,0,0,0
363,1,0,1,0,0,0,0,0,0
364,1,1,0,0,0,0,0,0,0
365,5,1,0,2,0,0,1,0,0
366,0,1,1,0,0,0,0,0,0
367,0,1,0,1,0,0,0,0,0
368,3,1,0,0,0,0,0,0,0
369,2,0,0,0,0,0,0,0,0
370,0,1,0,0,1,0,0,0,0
371,0,0,0,0,1,1,0,0,0
372,0,0,0,0,1,1,0,0,0
373,0,1,1,0,0,0,0,0,0
374,2,2,2,0,0,0,0,0,0
375,0,0,0,1,1,1,0,0,0
376,3,0,0,0,0,0,0,0,0
377,0,0,0,1,0,1,0,0,0
378,0,0,0,1,1,0,0,0,0
379,0,0,0,1,1,0,0,0,0
380,4,2,1,0,0,0,0,0,0
381,2,0,0,0,0,0,0,0,0
382,3,0,0,1,0,0,0,0,0
383,0,0,0,1,0,1,0,0,0
384,2,3,0,0,0,0,0,0,0
385,1,0,0,1,0,0,0,0,0
386,3,0,1,0,0,0,1,0,0
387,2,2,0,1,0,0,0,0,0
388,0,1,1,1,0,1,0,0,0
389,2,0,0,0,1,0,0,0,0
390,3,2,0,1,1,0,0,0,0
391,4,3,1,0,1,0,0,0,0
392,4,3,0,0,0,1,0,0,0
393,3,0,0,0,1,0,0,0,0
394,1,0,0,0,1,0,0,0,0
395,0,0,0,0,1,1,0,0,0
396,2,0,1,0,1,1,0,0,0
397,3,0,0,0,1,0,0,0,0
398,3,0,1,1,0,0,0,0,0
399,0,0,0,0,1,0,0,1,0
400,0,1,1,0,0,0,0,0,0
401,1,1,0,0,0,1,0,0,0
402,4,2,0,0,1,0,0,0,0
403,0,0,0,1,1,0,1,0,0
404,2,1,0,1,1,0,0,0,0
405,2,0,0,1,1,1,0,0,0
406,3,1,0,0,0,0,0,0,0
407,2,1,0,1,3,0,0,0,0
408,3,1,0,0,0,0,0,0,0
409,2,1,0,0,0,0,0,0,0
410,1,0,0,0,0,1,0,0,0
411,0,2,0,0,0,0,0,0,0
412,4,0,0,0,0,0,0,0,0
413,4,2,0,1,0,0,0,0,0
414,2,1,0,1,2,0,0,0,0
415,3,3,0,1,1,0,1,0,0
416,0,0,0,2,0,1,0,0,0
417,3,1,0,1,1,0,0,0,0
418,0,2,0,1,0,0,0,0,0
419,2,0,0,0,0,0,0,0,0
420,1,0,0,0,2,0,0,0,0
421,0,2,0,1,0,0,0,0,0
422,0,0,0,0,0,3,0,0,0
423,4,2,1,0,2,0,0,0,0
424,0,0,0,1,1,0,0,0,0
425,0,0,0,1,0,1,0,0,0
426,4,0,0,0,0,0,0,0,0
427,0,1,0,0,1,0,0,0,0
428,0,2,0,0,0,0,0,0,0
429,0,0,0,1,0,1,0,0,0
430,2,0,0,0,1,0,0,0,0
431,2,1,0,1,0,0,0,0,0
432,0,0,0,0,0,2,0,0,0
433,0,2,0,0,0,0,0,0,0
434,0,1,0,0,1,0,0,0,0
435,3,1,1,0,0,0,0,0,0
436,0,1,0,1,0,0,0,0,0
437,3,0,0,1,0,0,0,0,0
438,2,0,0,0,1,0,0,0,0
439,0,0,0,0,0,2,0,0,0
440,0,0,0,1,1,0,0,0,0
441,0,0,0,0,1,1,0,0,0
442,2,0,0,0,0,0,0,0,0
443,0,2,0,0,0,0,0,0,0
444,0,1,0,0,0,1,0,0,0
445,2,0,0,0,0,0,0,0,0
446,5,1,1,0,0,0,0,0,0
447,2,2,1,0,0,0,0,0,0
448,0,0,0,2,0,0,0,0,0
449,0,1,1,0,0,2,0,0,0
450,2,0,2,0,0,0,0,0,0
451,2,0,0,0,1,0,0,0,0
452,1,0,0,1,1,0,0,0,0
453,0,2,0,0,0,0,0,0,0
454,0,1,0,0,1,0,0,0,0
455,2,2,0,0,0,0,0,0,0
456,2,0,0,0,0,0,0,0,0
457,0,0,0,0,1,1,0,0,0
458,0,0,0,1,0,1,0,0,0
459,2,0,0,0,0,0,0,0,0
460,2,0,0,0,0,0,0,0,0
461,4,2,1,0,1,1,0,0,0
462,0,1,0,1,0,0,0,0,0
463,2,0,0,1,0,1,0,0,0
464,1,0,0,1,0,1,1,0,0
465,2,1,0,1,0,1,0,0,0
466,1,1,0,2,0,1,0,0,0
467,2,1,0,2,0,0,0,0,0
468,4,2,0,2,2,0,0,0,0
469,2,1,0,1,0,0,0,0,0
470,4,0,0,2,1,0,0,0,0
471,0,2,0,0,0,0,0,0,0
472,1,0,0,1,0,0,0,0,0
473,1,0,0,0,0,1,0,0,0
474,7,1,0,1,1,0,0,0,0
475,3,1,0,0,0,0,0,0,0
476,4,2,0,0,0,0,0,0,0
477,4,0,0,0,0,0,0,0,0
478,4,2,0,1,0,0,0,0,0
479,1,1,0,0,0,0,0,0,0
480,0,0,0,1,0,0,1,0,0
481,0,0,0,0,1,2,0,0,0
482,3,0,0,1,0,1,0,0,0
483,2,1,0,0,0,0,0,0,0
484,4,0,0,0,0,0,0,0,0
485,3,2,0,0,1,0,0,0,0
486,2,0,1,0,0,0,0,0,0
487,1,1,0,0,0,0,0,0,0
488,1,1,0,0,0,0,0,0,0
489,1,0,1,0,0,2,0,0,0
490,5,3,1,1,0,0,0,0,0
491,1,0,1,0,0,0,0,0,0
492,0,1,0,1,0,0,0,0,0
493,0,0,0,1,1,0,0,0,0
494,2,0,0,0,0,0,0,0,0
495,0,2,1,0,0,0,0,0,0
496,2,2,1,1,0,0,1,0,0
497,2,2,1,0,0,0,0,0,0
498,3,1,1,0,1,0,0,0,0
499,0,1,0,1,1,0,0,0,0
500,2,1,0,0,1,0,0,0,0
501,2,1,0,3,2,0,0,0,0
502,0,2,0,1,0,0,0,0,0
503,2,0,0,0,2,1,0,1,0
504,1,0,0,0,0,0,1,0,0
505,5,1,0,1,1,0,0,0,0
506,3,0,0,0,0,0,0,0,0
507,6,2,1,1,0,0,0,0,0
508,2,2,0,2,1,0,0,0,0
509,2,0,1,0,0,0,0,0,0
510,1,1,0,2,1,0,0,0,0
511,6,2,1,0,1,0,0,0,0
512,1,1,0,2,0,2,0,0,0
513,3,2,1,3,1,0,0,0,0
514,1,1,0,0,0,0,0,0,0
515,0,2,0,0,0,0,0,0,0
516,2,0,0,0,0,0,0,0,0
517,0,1,0,0,1,1,0,0,0
518,1,2,0,1,0,0,0,0,0
519,0,1,0,2,2,0,0,0,0
520,4,1,1,1,0,1,0,0,0
521,3,0,0,2,0,1,0,0,0
522,3,0,1,0,0,0,0,0,0
523,0,0,0,0,0,2,0,0,0
524,2,1,1,0,1,0,0,0,0
525,3,1,1,0,0,0,0,0,0
526,2,0,0,0,0,0,0,0,0
527,1,0,0,1,0,0,0,0,0
528,4,1,0,1,0,0,0,0,0
529,5,3,0,0,0,0,0,0,0
530,3,1,0,0,0,0,0,0,0
531,0,0,0,0,0,2,0,0,0
532,3,1,0,1,0,0,0,0,0
533,2,1,0,1,0,0,0,0,0
534,4,0,0,1,0,0,0,0,0
535,3,2,1,0,0,0,0,0,0
536,3,0,1,0,0,0,1,0,0
537,3,0,0,0,0,1,0,0,0
538,3,0,0,0,0,1,0,0,0
539,0,1,0,0,0,0,1,0,0
540,4,0,0,0,0,0,0,0,0
541,4,1,1,1,1,0,0,0,0
542,3,0,0,2,0,0,0,0,0
543,3,0,0,1,0,0,0,0,0
544,4,1,0,0,1,0,0,0,0
545,3,4,1,1,0,0,0,0,0
546,3,0,0,0,0,0,0,0,0
547,4,2,0,0,0,0,0,0,0
548,0,0,0,1,0,1,0,0,0
549,0,0,0,0,1,1,0,0,0
550,1,0,1,0,0,0,0,0,0
551,3,1,1,0,0,0,0,0,0
552,0,0,1,0,1,0,0,0,0
553,4,0,1,0,0,0,0,0,0
554,6,2,1,0,1,0,0,0,0
555,5,1,1,0,0,0,0,0,0
556,3,2,0,0,0,0,0,0,0
557,3,0,0,0,0,0,0,0,0
558,1,1,0,0,0,1,0,0,0
559,3,1,1,0,0,0,0,0,0
560,2,2,0,0,0,0,0,0,0
561,3,1,1,0,0,0,0,0,0
562,2,0,0,0,0,0,0,0,1
563,0,1,0,0,0,0,0,1,0
564,0,0,0,0,1,0,0,1,0
565,3,2,1,1,0,0,0,0,0
566,6,0,1,2,1,0,0,0,0
567,2,0,0,0,0,0,0,0,0
568,2,1,1,0,0,0,0,0,0
569,0,2,0,0,0,0,0,0,0
570,0,0,0,2,1,1,0,0,0
571,3,0,0,0,0,0,0,0,0
572,4,2,0,1,1,0,0,0,0
573,0,0,1,2,0,0,0,0,0
574,0,1,0,1,0,0,0,0,0
575,4,1,1,0,0,0,0,0,0
576,2,1,0,0,1,0,0,0,0
577,2,0,0,0,0,1,0,0,0
578,0,1,1,0,0,0,0,0,0
579,2,0,0,1,0,0,0,0,0
580,1,1,0,0,1,0,0,0,0
581,1,1,0,1,0,0,0,0,0
582,3,2,0,0,0,0,0,0,0
583,3,1,0,0,2,1,0,0,0
584,5,2,1,1,0,0,0,0,0
585,0,0,0,0,0,2,0,0,0
586,4,1,0,0,0,0,0,0,0
587,0,2,0,0,0,0,0,0,0
588,2,0,0,1,0,0,0,0,0
589,4,1,0,0,0,0,0,1,0
590,0,1,0,1,0,0,0,0,0
591,0,0,0,1,0,1,0,0,0
592,0,0,0,1,0,1,0,0,0
593,4,1,0,1,0,0,0,0,0
594,0,0,0,1,2,0,0,0,0
595,3,2,1,0,0,1,0,0,0
